id,tmdb_id,title,year,release_date,director,genre,duration,overview,rating,vote_count,language,poster_url
54,1368166,The Housemaid,2025,2025-12-18,Paul Feig,"Mystery, Thriller",131,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",8.4,22,en,
55,1363123,The Family Plan 2,2025,2025-11-11,Simon Cellan Jones,"Action, Comedy",106,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",6.644,379,en,1363123_semFxuYx6HcrkZzslgAkBqfJvZk.jpg
56,474350,It Chapter Two,2019,2019-09-04,Andy Muschietti,"Horror, Thriller",169,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",6.838,9325,en,474350_zfE0R94v1E8cuKAerbskfD3VfUt.jpg
57,1288072,Keeper,2025,2025-11-12,Osgood Perkins,"Horror, Mystery",99,"Liz and Malcolm escape for a romantic anniversary weekend at a secluded cabin. When Malcolm suddenly returns to the city, Liz finds herself isolated and in the presence of an unspeakable evil that reveals the cabin's horrifying secrets.",5.373,71,en,1288072_mbGHijUc0C3fcM12l6ro6FgxIvg.jpg
58,617126,The Fantastic 4: First Steps,2025,2025-07-23,Matt Shakman,"Science Fiction, Adventure, Action",115,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",7.014,2662,en,617126_pZPJsaFKWheTOerVhLnpP8TPp4B.jpg
59,1400032,10Dance,2025,2025-12-17,Keishi Otomo,"Romance, Drama",128,"Two dancers, opposites in all but their art, agree to train together for a competition. At first, they clash, but soon become drawn to each other.",6.672,29,ja,1400032_sLNy9Npu1YoK1ednpXUlUt9vCBj.jpg
60,24428,The Avengers,2012,2012-04-25,Joss Whedon,"Science Fiction, Action, Adventure",143,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.881,34555,en,24428_RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
61,701387,Bugonia,2025,2025-10-23,Yorgos Lanthimos,"Science Fiction, Crime",119,"Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",7.429,898,en,701387_oxgsAQDAAxA92mFGYCZllgWkH9J.jpg
62,1318691,Los Muértimer,2025,2025-08-14,Álvaro Fernández Armero,"Comedy, Horror, Mystery, Family",0,It tells the story of five friends who discover a jewel theft plot in a cemetery without any adult believing them.,5.7,6,es,1318691_t2WoKMTAveHf8Ic0KkQhSGCtB6i.jpg
63,8871,How the Grinch Stole Christmas,2000,2000-11-17,Ron Howard,"Family, Comedy, Fantasy",105,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,6.776,8011,en,8871_1WZbbPApEivA421gCOluuzMMKCk.jpg
64,1116465,A Legend,2024,2024-07-05,Stanley Tong Gwai-Lai,"Action, Adventure, Fantasy",129,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,6.881,126,zh,1116465_qbImUt1d3itXcB81BCItPZlfbyr.jpg
65,1309012,Altered,2025,2025-09-18,Timo Vuorensola,"Science Fiction, Action",85,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.",6.2,67,en,1309012_6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg
66,949709,High Forces,2024,2024-09-29,Oxide Pang Chun,"Action, Crime",115,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage, and international security expert Gao Haojun stood up to a group of thugs, his daughter Xiaojun was trapped in the cabin, and Mike, the leader of the hijackers, threatened the lives of more than 800 people in the plane as a bargaining chip, and Xiaojun's mother, Fu Yuan, was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?",6.0,28,zh,949709_v8ySgr4CE45SrrIt4PqqYc1diW6.jpg
67,755679,Fast X: Part 2,,,Louis Leterrier,"Action, Crime, Thriller",0,"The eleventh installment in The Fast Saga, and a direct sequel to ""Fast X"".",0.0,0,en,755679_lD8V3DBban95Mxz4sjuA81Tw771.jpg
68,1197137,Black Phone 2,2025,2025-10-15,Scott Derrickson,"Horror, Thriller",114,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",6.857,728,en,1197137_gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg
