id,title,tmdb_id,overview,release_date,duration,rating,vote_count,language,poster_url
40,Tell Me Softly,1379963,"Kamila has everything under control: studies, social life, her image... Everything except the unexpected return of her neighbors, the Di Bianco brothers, after seven years of absence. Thiago stole her first kiss, and Taylor was her best friend, but now their return will turn Kami's world upside down. Can the three overcome the past that binds them? Or will everything explode into pieces once again?",2025-12-11,119,5.917,54,es,1379963_6Z37lW0JfLdeFcgH9yaTyg6B9A6.jpg
41,Zootopia,269149,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",2016-02-11,109,7.757,17324,en,269149_hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg
42,I Am Frankelda,1119090,"Frankelda, a frustrated young Mexican writer from the 19th Century, travels in the form of a ghost to a kingdom of her own invention inhabited by Spooks, which are all the monstrous characters she created in her horror tales. Her guide is Herneval, the Prince of Spooks, who takes her to help him save the balance between the Realm of Fiction and the Realm of Existence by using her talent as a writer.",2025-10-23,113,8.547,32,es,1119090_hDzllxB1TQ7uUxVvjnGHirJJovt.jpg
43,JUJUTSU KAISEN: Execution -Shibuya Incident x The Culling Game Begins-,1539104,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",2025-11-07,88,5.3,67,ja,1539104_v0s3dx6am0RzfsuK3KdEy8ZoCDs.jpg
44,Wildcat,1448560,An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,2025-11-19,99,6.343,51,en,
45,Die My Love,1033148,"Grace and her partner Jackson move into an old country house. She pursues her dream of writing, and the couple welcome a baby soon after. However, with Jackson frequently absent, and the pressures of domestic life weighing on her, Grace begins to unravel, leaving a path of destruction in her wake.",2025-10-06,119,6.421,191,en,1033148_kajpShbFhOdpl6yCrLezMrr9tB4.jpg
46,KPop Demon Hunters,803796,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",2025-06-20,96,8.181,2068,en,803796_zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg
47,It,346364,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",2017-09-06,135,7.238,19910,en,
48,E.T. the Extra-Terrestrial,601,"An alien is left behind on Earth and saved by the 10-year-old Elliott who decides to keep him hidden in his home. While a task force hunts for the extra-terrestrial, Elliott, his brother, and his little sister Gertie form an emotional bond with their new friend, and try to help him find his way home.",1982-06-11,115,7.511,11691,en,601_an0nD6uq6byfxXCfk6lQBzdL2J1.jpg
49,The Carpenter's Son,1286185,"A remote village in Roman-era Egypt explodes into spiritual warfare when a carpenter, his wife and their child are targeted by supernatural forces.",2025-11-13,94,5.174,23,en,1286185_tXEtdZjoaHqjDjSxZJWwDVjIfx9.jpg
